Geneid	groups	description
PBANKA_0502700	1	pre-mRNA-splicing factor RDS3, putative
PBANKA_0502800	1	tRNA wybutosine-synthesizing protein, putative
PBANKA_0503100	1	conserved Plasmodium protein, unknown function
PBANKA_0503800	1	conserved Plasmodium protein, unknown function
PBANKA_0503900	1	conserved Plasmodium protein, unknown function
PBANKA_0504400	1	conserved Plasmodium protein, unknown function
PBANKA_0505900	1	conserved Plasmodium protein, unknown function
PBANKA_0506500	1	ZIP domain-containing protein
PBANKA_0506800	1	kelch protein K10, putative
PBANKA_0506900	1	phospholipid scramblase, putative
PBANKA_0507500	1	conserved protein, unknown function
PBANKA_0509800	1	cytochrome c oxidase copper chaperone, putative
PBANKA_0511700	1	meiotic recombination protein SPO11-2, putative
PBANKA_0512500	1	ribosome biogenesis protein RPF2, putative
PBANKA_0513600	1	adenosine deaminase, putative
PBANKA_0513900	1	conserved Plasmodium protein, unknown function
PBANKA_0514300	1	conserved Plasmodium protein, unknown function
PBANKA_0514800	1	calmodulin, putative
PBANKA_0515700	1	conserved Plasmodium protein, unknown function
PBANKA_0516400	1	conserved protein, unknown function
PBANKA_0518300	1	conserved Plasmodium protein, unknown function
PBANKA_0518600	1	conserved protein, unknown function
PBANKA_0520100	1	conserved Plasmodium protein, unknown function
PBANKA_0520600	1	enhancer of rudimentary homolog, putative
PBANKA_0521100	1	conserved Plasmodium protein, unknown function
PBANKA_0521500	1	conserved Plasmodium protein, unknown function
PBANKA_0521600	1	holo-[acyl-carrier-protein] synthase, putative
PBANKA_0522200	1	conserved Plasmodium protein, unknown function
PBANKA_0602400	1	major facilitator superfamily domain-containing protein, putative
PBANKA_0603300	1	sexual stage-specific protein G37
PBANKA_0604600	1	conserved protein, unknown function
PBANKA_0606100	1	tRNA dimethylallyltransferase, putative
PBANKA_0606400	1	conserved Plasmodium protein, unknown function
PBANKA_0606600	1	conserved Plasmodium protein, unknown function
PBANKA_0606900	1	amino acid transporter, putative
PBANKA_0607700	1	telomere repeat-binding zinc finger protein, putative
PBANKA_0608500	1	SNARE protein, putative
PBANKA_0608600	1	zinc finger protein, putative
PBANKA_0608900	1	general transcription factor 3C polypeptide 5, putative
PBANKA_0609000	1	conserved Plasmodium protein, unknown function
PBANKA_0609300	1	GPI mannosyltransferase 1, putative
PBANKA_0609700	1	conserved Plasmodium protein, unknown function
PBANKA_0609800	1	DNA helicase MCM8, putative
PBANKA_0610500	1	glutathione peroxidase-like thioredoxin peroxidase
PBANKA_0611300	1	conserved Plasmodium protein, unknown function
PBANKA_0611900	1	histidine triad protein, putative
PBANKA_0612400	1	conserved Plasmodium protein, unknown function
PBANKA_0612700	1	conserved Plasmodium protein, unknown function
PBANKA_0616300	1	conserved Plasmodium protein, unknown function
PBANKA_0617400	1	conserved Plasmodium protein, unknown function
PBANKA_0618000	1	conserved Plasmodium protein, unknown function
PBANKA_0619500	1	conserved Plasmodium protein, unknown function
PBANKA_0700081	1	PIR protein
PBANKA_0701200	1	conserved Plasmodium protein, unknown function
PBANKA_0702900	1	SET domain protein, putative
PBANKA_0703500	1	conserved Plasmodium protein, unknown function
PBANKA_0704300	1	SPRY domain, putative
PBANKA_0704400	1	alpha/beta hydrolase, putative
PBANKA_0704500	1	HECT-like E3 ubiquitin ligase, putative
PBANKA_0705600	1	conserved Plasmodium protein, unknown function
PBANKA_0706300	1	GTP-binding protein Obg2, putative
PBANKA_0708400	1	small nuclear ribonucleoprotein G, putative
PBANKA_0709100	1	60S ribosomal protein L22, putative
PBANKA_0712900	1	high mobility group protein B2
PBANKA_0713600	1	conserved protein, unknown function
PBANKA_0714100	1	trafficking protein particle complex subunit 2-like protein, putative
PBANKA_0714600	1	vacuolar protein sorting-associated protein 2, putative
PBANKA_0716100	1	conserved Plasmodium protein, unknown function
PBANKA_0716200	1	calmodulin-like protein, putative
PBANKA_0717000	1	arsenical pump-driving ATPase, putative
PBANKA_0718500	1	repressor of RNA polymerase III transcription MAF1, putative
PBANKA_0718600	1	prohibitin-like protein PHBL
PBANKA_0719100	1	conserved Plasmodium protein, unknown function
PBANKA_0719800	1	conserved Plasmodium protein, unknown function
PBANKA_0719900	1	cdc2-related protein kinase 1
PBANKA_0721200	1	conserved Plasmodium protein, unknown function
PBANKA_0721500	1	conserved Plasmodium protein, unknown function
PBANKA_0800041	1	fam-a protein, pseudogene
PBANKA_0800700	1	conserved Plasmodium protein, unknown function
PBANKA_0800900	1	conserved Plasmodium protein, unknown function
PBANKA_0802500	1	protein phosphatase PPM12, putative
PBANKA_0802600	1	peptide chain release factor 2, putative
PBANKA_0802900	1	conserved Plasmodium protein, unknown function
PBANKA_0803200	1	inositol-phosphate phosphatase, putative
PBANKA_0803700	1	conserved Plasmodium protein, unknown function
PBANKA_0804700	1	conserved Plasmodium protein, unknown function
PBANKA_0806700	1	conserved Plasmodium protein, unknown function
PBANKA_0807200	1	conserved Plasmodium protein, unknown function
PBANKA_0807400	1	26S proteasome non-ATPase regulatory subunit 9, putative
PBANKA_0808700	1	GTPase-activating protein, putative
PBANKA_0808900	1	ATP-dependent protease ATPase subunit ClpY, putative
PBANKA_0810000	1	mitochondrial carrier protein, putative
PBANKA_0812200	1	conserved protein, unknown function
PBANKA_0812600	1	conserved Plasmodium protein, unknown function
PBANKA_0812900	1	conserved Plasmodium protein, unknown function
PBANKA_0813300	1	conserved protein, unknown function
PBANKA_0813800	1	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative
PBANKA_0814100	1	heptatricopeptide repeat-containing protein, putative
PBANKA_0814600	1	conserved Plasmodium protein, unknown function
PBANKA_0815400	1	protein KIC3, putative
PBANKA_0815700	1	major facilitator superfamily-related transporter, putative
PBANKA_0815900	1	BSD-domain protein, putative
PBANKA_0816300	1	heptatricopeptide repeat-containing protein, putative
PBANKA_0818300	1	conserved protein, unknown function
PBANKA_0818800	1	conserved Plasmodium protein, unknown function
PBANKA_0820100	1	PPPDE peptidase, putative
PBANKA_0821100	1	CS domain protein, putative
PBANKA_0821200	1	conserved Plasmodium protein, unknown function
PBANKA_0821600	1	CRAL/TRIO domain-containing protein, putative
PBANKA_0822200	1	conserved protein, unknown function
PBANKA_0823100	1	S-adenosylmethionine synthetase, putative
PBANKA_0824300	1	conserved Plasmodium protein, unknown function
PBANKA_0825500	1	conserved Plasmodium protein, unknown function
PBANKA_0825900	1	conserved Plasmodium protein, unknown function
PBANKA_0826900	1	protein kinase, putative
PBANKA_0828100	1	fumarate hydratase, putative
PBANKA_0828400	1	RNA-binding protein, putative
PBANKA_0828500	1	serine/threonine protein phosphatase 4
PBANKA_0831400	1	conserved Plasmodium protein, unknown function
PBANKA_0831500	1	conserved Plasmodium protein, unknown function
PBANKA_0832300	1	conserved Plasmodium protein, unknown function
PBANKA_0834100	1	conserved Plasmodium protein, unknown function
PBANKA_0835400	1	conserved Plasmodium protein, unknown function
PBANKA_0835500	1	UBX domain-containing protein, putative
PBANKA_0836100	1	phosphatidylinositol N-acetylglucosaminyltransferase subunit P, putative
PBANKA_0836500	1	conserved rodent malaria protein, unknown function
PBANKA_0836700	1	fam-a protein
PBANKA_0836800	1	erythrocyte membrane associated protein 1
PBANKA_0901600	1	protein farnesyltransferase subunit beta, putative
PBANKA_0901900	1	tubulin--tyrosine ligase, putative
PBANKA_0902300	1	conserved Plasmodium protein, unknown function
PBANKA_0902900	1	conserved protein, unknown function
PBANKA_0903000	1	ribosome assembly protein 4, putative
PBANKA_0903200	1	conserved Plasmodium protein, unknown function
PBANKA_0904200	1	conserved Plasmodium protein, unknown function
PBANKA_0904300	1	apicoplast import protein Tic20, putative
PBANKA_0905300	1	conserved Plasmodium protein, unknown function
PBANKA_0905700	1	DNA-directed RNA polymerases I and III subunit RPAC1, putative
PBANKA_0905900	1	AP2 domain transcription factor AP2-O
PBANKA_0906500	1	60S ribosomal protein L28, putative
PBANKA_0907000	1	heptatricopeptide repeat-containing protein, putative
PBANKA_0907100	1	inner membrane complex protein 1b
PBANKA_0908000	1	conserved Plasmodium protein, unknown function
PBANKA_0908100	1	conserved Plasmodium protein, unknown function
PBANKA_0909100	1	ER membrane protein complex subunit 8, putative
PBANKA_0909300	1	adrenodoxin reductase, putative
PBANKA_0909600	1	AP2 domain transcription factor, putative
PBANKA_0909900	1	WD repeat-containing protein, putative
PBANKA_0910400	1	conserved protein, unknown function
PBANKA_0913500	1	PQ-loop repeat-containing protein
PBANKA_0914100	1	conserved Plasmodium protein, unknown function
PBANKA_0914800	1	conserved Plasmodium protein, unknown function
PBANKA_0915400	1	conserved Plasmodium protein, unknown function
PBANKA_0917500	1	structural maintenance of chromosomes protein 1, putative
PBANKA_0918700	1	A/G-specific adenine glycosylase, putative
PBANKA_0918900	1	conserved Plasmodium protein, unknown function
PBANKA_0919000	1	26S proteasome regulatory subunit RPN7, putative
PBANKA_0919100	1	parasitophorous vacuolar protein 1
PBANKA_0919200	1	fam-d protein
PBANKA_0919600	1	CCR4-NOT transcription complex subunit 2, putative
PBANKA_0921000	1	conserved Plasmodium protein, unknown function
PBANKA_0921100	1	tRNA (guanine-N(7)-)-methyltransferase, putative
PBANKA_0922300	1	threonine--tRNA ligase, putative
PBANKA_0926100	1	JmjC domain-containing protein, putative
PBANKA_0926200	1	GPI transamidase component GPI16
PBANKA_0926500	1	peptidase M16, putative
PBANKA_0926600	1	protein GCN20, putative
PBANKA_0927200	1	conserved protein, unknown function
PBANKA_0927300	1	palmitoyltransferase DHHC3
PBANKA_0927800	1	tRNA nucleotidyltransferase, putative
PBANKA_0927900	1	CorA-like Mg2+ transporter protein, putative
PBANKA_0930100	1	conserved Plasmodium protein, unknown function
PBANKA_0931500	1	folate transporter 2, putative
PBANKA_0931600	1	guanine nucleotide-exchange factor SEC12, putative
PBANKA_0931800	1	pyridoxine biosynthesis protein PDX2, putative
PBANKA_0932300	1	AP2 domain transcription factor, putative
PBANKA_0934000	1	conserved Plasmodium protein, unknown function
PBANKA_0934800	1	conserved protein, unknown function
PBANKA_0935700	1	Josephin domain-containing protein, putative
PBANKA_0935800	1	peptidyl-prolyl cis-trans isomerase, putative
PBANKA_0936100	1	acylphosphatase, putative
PBANKA_0938100	1	tetratricopeptide repeat protein, putative
PBANKA_0938200	1	conserved Plasmodium protein, unknown function
PBANKA_0939000	1	mechanosensitive ion channel protein, putative
PBANKA_0940200	1	DNA replication ATP-dependent helicase/nuclease DNA2, putative
PBANKA_0942900	1	phenylalanine--tRNA ligase beta subunit, putative
PBANKA_0943100	1	CCR4-NOT transcription complex subunit 1, putative
PBANKA_0943700	1	fam-b protein
PBANKA_0944101	1	PIR protein
PBANKA_1001000	1	conserved Plasmodium protein, unknown function
PBANKA_1001600	1	SET domain protein, putative
PBANKA_1001900	1	conserved Plasmodium protein, unknown function
PBANKA_1002100	1	6-cysteine protein P36
PBANKA_1003200	1	conserved Plasmodium protein, unknown function
PBANKA_1003300	1	TMEM33 domain-containing protein, putative
PBANKA_1005600	1	conserved Plasmodium protein, unknown function
PBANKA_1006000	1	conserved protein, unknown function
PBANKA_1006900	1	methyltransferase, putative
PBANKA_1008100	1	ribosome biogenesis GTPase A, putative
PBANKA_1008400	1	conserved Plasmodium protein, unknown function
PBANKA_1010500	1	Hsp70/Hsp90 organizing protein, putative
PBANKA_1010700	1	queuine tRNA-ribosyltransferase, putative
PBANKA_1012300	1	conserved Plasmodium protein, unknown function
PBANKA_1014200	1	conserved Plasmodium protein, unknown function
PBANKA_1014800	1	ADP-dependent DNA helicase RecQ, putative
PBANKA_1015100	1	conserved Plasmodium protein, unknown function
PBANKA_1016000	1	heme/steroid binding domain containing protein, putative
PBANKA_1016400	1	major facilitator superfamily domain-containing protein, putative
PBANKA_1017500	1	lipase, putative
PBANKA_1017800	1	conserved Plasmodium protein, unknown function
PBANKA_1018100	1	ABC transporter G family member 2, putative
PBANKA_1019540	1	small nucleolar RNA snoR25
PBANKA_1019560	1	small nucleolar RNA snoR24
PBANKA_1019800	1	calcium-dependent protein kinase, putative
PBANKA_1022200	1	DIX domain-containing protein, putative
PBANKA_1023000	1	myosin-specific chaperone UNC, putative
PBANKA_1023300	1	YTH domain-containing protein 1, putative
PBANKA_1023800	1	conserved Plasmodium protein, unknown function
PBANKA_1025400	1	cysteine protease ATG4, putative
PBANKA_1025500	1	NOT family protein, putative
PBANKA_1026100	1	conserved Plasmodium protein, unknown function
PBANKA_1027000	1	serine palmitoyltransferase, putative
PBANKA_1027100	1	conserved Plasmodium protein, unknown function
PBANKA_1029800	1	glycylpeptide N-tetradecanoyltransferase, putative
PBANKA_1031400	1	conserved Plasmodium protein, unknown function
PBANKA_1031500	1	conserved Plasmodium protein, unknown function
PBANKA_1033800	1	conserved protein, unknown function
PBANKA_1034700	1	multifunctional methyltransferase subunit TRM112, putative
PBANKA_1036100	1	tubby domain-containing protein, putative
PBANKA_1036600	1	ribonucleoside-diphosphate reductase small chain, putative
PBANKA_1036800	1	DNA mismatch repair protein, putative
PBANKA_1040100	1	choline kinase
PBANKA_1040151	1	fam-a protein, pseudogene
PBANKA_1100441	1	fam-b protein
PBANKA_1100821	1	fam-a protein, pseudogene
PBANKA_1101400	1	rhoptry-associated protein 2/3
PBANKA_1101700	1	conserved protein, unknown function
PBANKA_1101900	1	HCNGP-like protein, putative
PBANKA_1102800	1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative
PBANKA_1103700	1	AN1-type zinc finger protein, putative
PBANKA_1104100	1	MOLO1 domain-containing protein, putative
PBANKA_1104400	1	conserved Plasmodium protein, unknown function
PBANKA_1105700	1	60S ribosomal subunit protein L24, putative
PBANKA_1108600	1	alpha-soluble NSF attachment protein, putative
PBANKA_1109000	1	RNA polymerase I, putative
PBANKA_1109200	1	asparagine--tRNA ligase, putative
PBANKA_1109700	1	conserved protein, unknown function
PBANKA_1110600	1	conserved Plasmodium protein, unknown function
PBANKA_1111300	1	EKC/KEOPS complex subunit CGI121, putative
PBANKA_1111500	1	conserved Plasmodium protein, unknown function
PBANKA_1112400	1	orotate phosphoribosyltransferase, putative
PBANKA_1112700	1	conserved protein, unknown function
PBANKA_1113200	1	mitochondrial import inner membrane translocase subunit TIM16, putative
PBANKA_1113500	1	ras-related protein Rab-1A, putative
PBANKA_1113600	1	conserved protein, unknown function
PBANKA_1114000	1	aspartate--tRNA ligase, putative
PBANKA_1114100	1	conserved Plasmodium protein, unknown function
PBANKA_1114200	1	ribose-5-phosphate isomerase, putative
PBANKA_1114800	1	conserved Plasmodium protein, unknown function
PBANKA_1115000	1	conserved protein, unknown function
PBANKA_1115300	1	glideosome-associated protein 40, putative
PBANKA_1115400	1	BolA-like protein, putative
PBANKA_1118100	1	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1, putative
PBANKA_1121000	1	conserved Plasmodium protein, unknown function
PBANKA_1121200	1	vacuolar transporter chaperone, putative
PBANKA_1123000	1	conserved protein, unknown function
PBANKA_1123200	1	CPW-WPC family protein
PBANKA_1124000	1	sphingomyelin synthase 2, putative
PBANKA_1125400	1	conserved Plasmodium protein, unknown function
PBANKA_1125500	1	ATPase, putative
PBANKA_1125700	1	ribosomal protein L46, mitochondrial, putative
PBANKA_1126700	1	6-pyruvoyltetrahydropterin synthase, putative
PBANKA_1127200	1	conserved Plasmodium protein, unknown function
PBANKA_1127300	1	DNA methyltransferase 1-associated protein 1, putative
PBANKA_1128300	1	amino acid transporter AAT1, putative
PBANKA_1129800	1	tetratricopeptide repeat protein, putative
PBANKA_1129900	1	conserved Plasmodium protein, unknown function
PBANKA_1130200	1	ER lumen protein retaining receptor, putative
PBANKA_1130600	1	conserved Plasmodium protein, unknown function
PBANKA_1130900	1	large subunit rRNA methyltransferase, putative
PBANKA_1131400	1	metacaspase-1
PBANKA_1134300	1	patatin-like phospholipase, putative
PBANKA_1134700	1	conserved Plasmodium protein, unknown function
PBANKA_1134800	1	zinc finger protein, putative
PBANKA_1134900	1	zinc finger protein, putative
PBANKA_1135900	1	conserved Plasmodium protein, unknown function
PBANKA_1137400	1	conserved Plasmodium protein, unknown function
PBANKA_1138600	1	conserved protein, unknown function
PBANKA_1138900	1	conserved Plasmodium protein, unknown function
PBANKA_1139300	1	50S ribosomal protein L9, mitochondrial, putative
PBANKA_1139400	1	polyubiquitin binding protein, putative
PBANKA_1139500	1	CCR4 domain-containing protein 2, putative
PBANKA_1140500	1	aldehyde reductase, putative
PBANKA_1142000	1	conserved protein, unknown function
PBANKA_1142100	1	conserved Plasmodium protein, unknown function
PBANKA_1142600	1	conserved Plasmodium protein, unknown function
PBANKA_1143200	1	conserved Plasmodium protein, unknown function
PBANKA_1143400	1	NADH-cytochrome b5 reductase, putative
PBANKA_1143500	1	ribosome biogenesis protein MRT4, putative
PBANKA_1144200	1	conserved Plasmodium protein, unknown function
PBANKA_1144300	1	ribosomal protein L1, putative
PBANKA_1144400	1	heptatricopeptide repeat-containing protein, putative
PBANKA_1145300	1	conserved Plasmodium protein, unknown function
PBANKA_1145500	1	conserved protein, unknown function
PBANKA_1146600	1	fam-b protein
PBANKA_1146721	1	PIR protein
PBANKA_1146781	1	fam-b protein
PBANKA_1201000	1	conserved Plasmodium protein, unknown function
PBANKA_1201100	1	conserved Plasmodium protein, unknown function
PBANKA_1201800	1	conserved Plasmodium protein, unknown function
PBANKA_1202500	1	WD repeat-containing protein, putative
PBANKA_1202600	1	E3 ubiquitin-protein ligase, putative
PBANKA_1202800	1	conserved Plasmodium protein, unknown function
PBANKA_1204800	1	phosducin-like protein 3
PBANKA_1205200	1	transmembrane protein 147, putative
PBANKA_1205700	1	conserved Plasmodium protein, unknown function
PBANKA_1206300	1	PHD finger protein PHD1, putative
PBANKA_1206500	1	AP-5 complex subunit sigma-1, putative
PBANKA_1207100	1	Plasmodium exported protein, unknown function
PBANKA_1207300	1	diphthine methyl ester synthase, putative
PBANKA_1207800	1	metalloprotease, putative
PBANKA_1208500	1	PI31 domain-containing protein, putative
PBANKA_1208700	1	succinate dehydrogenase subunit 4, putative
PBANKA_1209400	1	inner membrane complex sub-compartment protein 1
PBANKA_1210200	1	PRE-binding protein, putative
PBANKA_1210300	1	heme oxygenase, putative
PBANKA_1210600	1	rhoptry associated adhesin, putative
PBANKA_1212500	1	merozoite surface protein MSA180, putative
PBANKA_1213500	1	CWC16 domain-containing protein, putative
PBANKA_1213900	1	nucleotidyltransferase, putative
PBANKA_1214400	1	conserved Plasmodium protein, unknown function
PBANKA_1214600	1	Rab3 GTPase-activating protein non-catalytic subunit, putative
PBANKA_1214900	1	BSD domain-containing protein, putative
PBANKA_1215200	1	conserved protein, unknown function
PBANKA_1215400	1	conserved Plasmodium protein, unknown function
PBANKA_1215800	1	conserved Plasmodium protein, unknown function
PBANKA_1217200	1	conserved Plasmodium protein, unknown function
PBANKA_1217900	1	conserved protein, unknown function
PBANKA_1218000	1	nicotinamidase, putative
PBANKA_1219400	1	protein SCO1, putative
PBANKA_1219800	1	Cg2 protein, putative
PBANKA_1220900	1	conserved protein, unknown function
PBANKA_1221800	1	conserved Plasmodium protein, unknown function
PBANKA_1222000	1	histone deacetylase complex subunit SAP18, putative
PBANKA_1224100	1	kinesin-like protein, putative
PBANKA_1224500	1	Dpy-19-like C-mannosyltransferase, putative
PBANKA_1225100	1	conserved Plasmodium protein, unknown function
PBANKA_1225300	1	conserved Plasmodium protein, unknown function
PBANKA_1225900	1	conserved Plasmodium protein, unknown function
PBANKA_1227000	1	filament assembling protein, putative
PBANKA_1227700	1	inositol 5-phosphatase, putative
PBANKA_1228500	1	sentrin-specific protease 2, putative
PBANKA_1229900	1	conserved protein, unknown function
PBANKA_1231300	1	major facilitator superfamily domain-containing protein, putative
PBANKA_1231400	1	sporozoite surface antigen MB2, putative
PBANKA_1233000	1	SWIB/MDM2 domain-containing protein, putative
PBANKA_1233200	1	cyclin
PBANKA_1235500	1	conserved protein, unknown function
PBANKA_1236200	1	conserved Plasmodium protein, unknown function
PBANKA_1237600	1	zinc finger protein, putative
PBANKA_1238300	1	dynein light chain Tctex-type, putative
PBANKA_1239000	1	conserved Plasmodium membrane protein, unknown function
PBANKA_1240000	1	structural maintenance of chromosomes protein 6, putative
PBANKA_1240100	1	conserved protein, unknown function
PBANKA_1241100	1	WD repeat-containing protein 55, putative
PBANKA_1244900	1	conserved Plasmodium protein, unknown function
PBANKA_1245100	1	conserved Plasmodium protein, unknown function
PBANKA_1245500	1	conserved Plasmodium protein, unknown function
PBANKA_1246200	1	fam-b protein
PBANKA_1246981	1	PIR protein, pseudogene
PBANKA_1300096	1	fam-b protein
PBANKA_1301100	1	conserved Plasmodium protein, unknown function
PBANKA_1301200	1	mediator of RNA polymerase II transcription subunit 31, putative
PBANKA_1303200	1	Sad1/UNC domain-containing protein, putative
PBANKA_1304200	1	stromal-processing peptidase, putative
PBANKA_1304600	1	AP-3 complex subunit mu, putative
PBANKA_1305400	1	conserved Plasmodium protein, unknown function
PBANKA_1305800	1	RNA polymerase II transcription factor B subunit 5, putative
PBANKA_1306600	1	conserved Plasmodium protein, unknown function
PBANKA_1307400	1	poly(A)-specific ribonuclease PARN, putative
PBANKA_1308400	1	eukaryotic translation initiation factor 2-alpha kinase 1, putative
PBANKA_1309100	1	ribosomal protein S29, mitochondrial, putative
PBANKA_1310200	1	nucleoporin NUP313
PBANKA_1310500	1	conserved Plasmodium protein, unknown function
PBANKA_1310700	1	glutaminyl-peptide cyclotransferase, putative
PBANKA_1312200	1	ubiquitin-protein ligase, putative
PBANKA_1312600	1	conserved protein, unknown function
PBANKA_1312900	1	conserved Plasmodium protein, unknown function
PBANKA_1313100	1	crossover junction endonuclease MUS81, putative
PBANKA_1313500	1	conserved protein, unknown function
PBANKA_1314000	1	NADPH--cytochrome P450 reductase, putative
PBANKA_1314100	1	E3 ubiquitin-protein ligase ZNF598, putative
PBANKA_1314700	1	conserved Plasmodium protein, unknown function
PBANKA_1315200	1	pre-mRNA-splicing factor CWF18, putative
PBANKA_1315900	1	aminomethyltransferase, putative
PBANKA_1316100	1	conserved Plasmodium protein, unknown function
PBANKA_1316300	1	conserved Plasmodium protein, unknown function
PBANKA_1316600	1	conserved protein, unknown function
PBANKA_1316900	1	conserved Plasmodium protein, unknown function
PBANKA_1317000	1	Yos1-like protein, putative
PBANKA_1318300	1	ribosomal protein S11, mitochondrial, putative
PBANKA_1318500	1	conserved Plasmodium protein, unknown function
PBANKA_1318800	1	protein tyrosine phosphatase
PBANKA_1319800	1	serine hydroxymethyltransferase, putative
PBANKA_1321600	1	conserved Plasmodium protein, unknown function
PBANKA_1322300	1	zinc finger protein, putative
PBANKA_1322600	1	golgi apparatus membrane protein TVP23, putative
PBANKA_1323400	1	bax inhibitor 1, putative
PBANKA_1323800	1	kelch domain-containing protein, putative
PBANKA_1324700	1	conserved Plasmodium protein, unknown function
PBANKA_1324800	1	conserved Plasmodium protein, unknown function
PBANKA_1325400	1	conserved Plasmodium protein, unknown function
PBANKA_1326600	1	mediator of RNA polymerase II transcription subunit 20, putative
PBANKA_1326700	1	conserved Plasmodium protein, unknown function
PBANKA_1327200	1	ribosomal protein S6, mitochondrial, putative
PBANKA_1327900	1	conserved Plasmodium protein, unknown function
PBANKA_1329100	1	plasmepsin VIII
PBANKA_1329400	1	conserved protein, unknown function
PBANKA_1329900	1	conserved Plasmodium protein, unknown function
PBANKA_1330300	1	conserved Plasmodium protein, unknown function
PBANKA_1332400	1	shewanella-like protein phosphatase 1
